Label	#1 String	#2 String
1	set timer 5 minute	start 5minute countdown
1	start 5minute countdown	need 5minute timer
1	need 5minute timer	create timer 5 minute
1	create timer 5 minute	please begin countdown 5 minute
1	please begin countdown 5 minute	start timer lasting 5 minute
1	start timer lasting 5 minute	set alarm five minute
1	set alarm five minute	count 5 minute
1	count 5 minute	begin timer 5 minute
1	begin timer 5 minute	need alarm go 5 minute
1	need alarm go 5 minute	activate fiveminute timer
1	activate fiveminute timer	countdown 5 minute please
1	countdown 5 minute please	start counting 5 minute
1	start counting 5 minute	set clock 5minute alert
1	set clock 5minute alert	create fiveminute countdown
1	create fiveminute countdown	time 5 minute
1	time 5 minute	set reminder 5 minute later
1	set reminder 5 minute later	need stopwatch 5 minute
1	need stopwatch 5 minute	start alarm 5 minute
1	start alarm 5 minute	launch 5minute timer
1	launch 5minute timer	put timer 5 minute
1	put timer 5 minute	time 5 minute
1	time 5 minute	need alert five minute
1	need alert five minute	remind 5 minute
1	remind 5 minute	give countdown five minute
1	give countdown five minute	please activate 5minute alarm
1	please activate 5minute alarm	time 5 minute
1	time 5 minute	want timer ring 5 minute
1	want timer ring 5 minute	notify 5 minute pas
1	notify 5 minute pas	let know 5 minute
1	play music	put song
1	put song	want hear tune
1	want hear tune	start playing song
1	start playing song	play favorite music
1	play favorite music	queue music
1	queue music	turn music please
1	turn music please	’ like listen song
1	’ like listen song	put background music
1	put background music	begin playing playlist
1	begin playing playlist	start daily mix
1	start daily mix	play relaxing song
1	play relaxing song	find good song play
1	find good song play	shuffle playlist
1	shuffle playlist	need music focus
1	need music focus	turn goto track
1	turn goto track	launch favorite playlist
1	launch favorite playlist	play something upbeat
1	play something upbeat	shuffle favorite song
1	shuffle favorite song	play instrumental music
1	play instrumental music	let ’ hear jazz
1	let ’ hear jazz	start random song
1	start random song	dj
1	dj	begin road trip playlist
1	begin road trip playlist	play something trending
1	play something trending	find song suit mood
1	find song suit mood	play latest pop song
1	play latest pop song	need calming sound
1	need calming sound	turn party music
1	turn party music	surprise song
1	whats weather like today	give weather update
1	give weather update	hows weather outside
