Quality	#1 ID	#2 ID	#1 String	#2 String
1	702876	702977	amrozi accused brother called witness deliberately distorting evidence	referring witness amrozi accused brother deliberately distorting evidence
0	2108705	2108831	yucaipa owned dominick selling chain safeway 1998 25 billion	yucaipa bought dominick 1995 693 million sold safeway 18 billion 1998
1	1330381	1330521	published advertisement internet june 10 offering cargo sale added	june 10 ship owner published advertisement internet offering explosive sale
0	3344667	3344648	around 0335 gmt tab share 19 cent 44 a456 earlier set record high a457	tab share jumped 20 cent 46 set record closing high a457
1	1236820	1236712	stock rose 211 11 percent close friday 2151 new york stock exchange	pge corp share jumped 163 8 percent 2103 new york stock exchange friday
1	738533	737951	revenue first quarter year dropped 15 percent period year earlier	scandal hanging stewart company revenue first quarter year dropped 15 percent period year earlier
0	264589	264502	nasdaq weekly gain 1727 12 percent closing 152015 friday	techlaced nasdaq composite ixic rallied 3046 point 204 percent 152015
1	579975	579810	dvdcca appealed state supreme court	dvd cca appealed decision u supreme court
0	3114205	3114194	compared 3518 million 24 cent per share yearago period	earnings affected nonrecurring 8 million tax benefit yearago period
1	1355540	1355592	said foodservice pie business doesnt fit company longterm growth strategy	foodservice pie business fit longterm growth strategy
0	222621	222514	share genentech much larger company several product market rose 2 percent	share xoma fell 16 percent early trade share genentech much larger company several product market 2 percent
0	3131772	3131625	legislation making harder consumer erase debt bankruptcy court overwhelming house approval march	legislation making harder consumer erase debt bankruptcy court speedy house approval march endorsed white house
0	58747	58516	nasdaq composite index increased 1073 07 percent 151477	nasdaq composite index full technology stock lately around 18 point
1	1464126	1464107	added group performance would improve second half year beyond	de sole said result statement group performance would improve second half year beyond
1	771416	771467	told sun newspaper mr hussein daughter british school hospital mind decided ask asylum	saddam daughter british school hospital mind decided ask asylum especially school told sun
0	142746	142671	gyorgy heizler head local disaster unit said coach carrying 38 passenger	head local disaster unit gyorgy heizler said coach driver failed heed red stop light
0	1286053	1286069	rudder recently senior vice president developer platform evangelism business	senior vice president eric rudder formerly head developer platform evangelism unit lead new entity
0	1563874	1563853	well dolphin scheme chaos allowed foreign company engage damaging logging fishing operation without proper monitoring export control	internal chaos allowed foreign company set damaging commercial logging fishing operation without proper monitoring export control
0	2029631	2029565	magnarelli said racicot hated iraqi regime looked forward using long year training war	wife said 100 percent behind george bush looked forward using year training war
1	2150265	2150184	sheena young child national infertility support network hoped guideline would lead fair equitable service infertility sufferer	sheena young spokesman child national infertility support network said proposed guideline lead fair equitable service infertility sufferer
0	2044342	2044457	think youll see lot job growth next two year said adding growth could replace job lost	think youll see lot job growth next two year said mankiw
1	1284150	1284173	new finder put user folder hard drive network server idisk removable medium one location providing oneclick access	panther redesigned finder navigation tool put user favourite folder hard drive network server idisk removable medium one location
1	3270389	3270327	tropical storm warning watch posted today haiti western portion dominican republic southeastern bahamas turk caicos island	tropical storm warning place thursday jamaica haiti watch western dominican republic southeastern bahamas turk caicos island
1	2294059	2294112	federal magistrate fort lauderdale ordered held without bail	zuccarini ordered held without bail wednesday federal judge fort lauderdale fla
0	1713015	1712982	bmi 25 considered overweight 30 considered obese	bmi 185 249 considered normal 25 considered overweight 30 greater defined obese
0	487993	487952	dollar 11692 yen yen flat session 12891 swiss franc also flat	dollar 11678 yen jpy virtually flat session 12871 swiss franc chf 01 percent
1	1321918	1321644	six month ago imf argentina struck bareminimum 68billion debt rollover deal expires august	six month ago two side managed strike 68billion debt rollover deal expires august
1	1239046	1239031	inhibited child tend timid new people object situation uninhibited child spontaneously approach	simply put shy invividuals tend timid new people situation
1	2907515	2907224	wanted bring beautiful people beautiful building said sunday inside grand central concourse	wanted bring beautiful people beautiful building tunick said sunday
0	2791650	2791604	broad standard poor 500 spx fell 1075 point 102 percent 103932	sp 500 index 126 01 percent 103932 sinking 1075 yesterday
0	2559762	2559517	duque return earth oct 27 station current crew u astronaut ed lu russian cosmonaut yuri malenchenko	currently living onboard space station american astronaut ed lu russian cosmonaut yuri malenchenko
1	105493	105432	singapore already united state 12thlargest trading partner twoway trade totaling 34 billion	although small citystate singapore 12thlargest trading partner united state trade volume 334 billion last year
1	1989515	1989458	aflcio waiting october decide endorse candidate	aflcio announced wednesday decide october whether endorse candidate primary
0	1783137	1782659	date set civil criminal trial	date set criminal civil case shanley pleaded guilty
1	14663	14617	largest gain seen price new order inventory export	subindexes measuring price new order inventory export increased
1	1692902	1692851	trading loral halted yesterday share closed monday 301	new york stock exchange suspended trading yesterday loral closed 301 friday
0	1480561	1480670	earnings per share recurring operation 13 cent 14 cent	beat company april earnings forecast 8 9 cent share
1	3089434	3089441	plan dinner troop kosovo u military headquarters camp bondsteel	plan dinner camp bondsteel u troop stationed
1	2538111	2538021	retailer jc penney co inc jcp walgreen co wag kick thing monday	retailer jc penney co inc jcpn walgreen co wagn kick thing monday
1	1341941	1341915	prosecutor filed motion informing lee intend seek death penalty	added prosecutor seek death penalty
1	374967	375017	last year court upheld cleveland school voucher program ruling 54 voucher constitutional provide parent choice religious secular school	last year court ruled 54 ohio case government voucher constitutional provide parent choice among range religious secular school
0	2321401	2321455	beat testicular cancer spread lung brain	armstrong 31 battled testicular cancer spread brain
1	1356545	1356676	sorkin face charge conspiracy obstruct justice lying grand jury tried separately	sorkin tried separately charge conspiracy lying grand jury
